"","Plot","Treatment","Site","Site_Name","Subplot","Collection_Date","Ehrharta_erecta","Rubus_ursinus","Fragaria_vesca","Stachys_bullata","Clinopodium_douglasii","Symphoricarpos_albus_var_laevigatus","Symphoricarpos_mollis","Symphoricarpos_sp","Caprifoliaceae_sp","Lonicera_hispidula","Carex_globosa","Geranium_molle","Toxicodendron_diversilobum","Juncus_patens","Psuedotsuga_menziezii","Cotoneaster_pannosus","Polystichum_munitum","Dryopteris_arguta","Pteridium_aquilinum_var_pubescens","Quercus_agrifolia","Umbellularia_californica","Iris_douglasiana","Adenalcolen_bicolor","Viola_ocellata","Maianthemum_racemosa","Melica_subulata","Eurybia_radulina","Galium_californicum","Galium_triflorum","Unk_Aster_1","Unk_1","Unk_2","Unk_Aster_2","Unk_3"
"1","2_Control","Control",2,"McHenry_Dumpster","1st","Oct 2014",38,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2_Control","Control",2,"McHenry_Dumpster","2nd ","Oct 2014",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2_Control","Control",2,"McHenry_Dumpster","3rd","Oct 2014",46,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2_Herbicide","Herbicide",2,"McHenry_Dumpster","1st","Oct 2014",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2_Herbicide","Herbicide",2,"McHenry_Dumpster","2nd ","Oct 2014",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2_Herbicide","Herbicide",2,"McHenry_Dumpster","3rd","Oct 2014",8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2_Pull","Pull",2,"McHenry_Dumpster","1st","Oct 2014",94,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"8","2_Pull","Pull",2,"McHenry_Dumpster","2nd ","Oct 2014",116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2_Pull","Pull",2,"McHenry_Dumpster","3rd","Oct 2014",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","3_Control","Control",3,"McHenry_Valley","1st","Oct 2014",247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","3_Control","Control",3,"McHenry_Valley","2nd ","Oct 2014",131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","3_Control","Control",3,"McHenry_Valley","3rd","Oct 2014",78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","3_Herbicide","Herbicide",3,"McHenry_Valley","1st","Oct 2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","3_Herbicide","Herbicide",3,"McHenry_Valley","2nd ","Oct 2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","3_Herbicide","Herbicide",3,"McHenry_Valley","3rd","Oct 2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","3_Pull","Pull",3,"McHenry_Valley","1st","Oct 2014",11,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","3_Pull","Pull",3,"McHenry_Valley","2nd ","Oct 2014",29,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","3_Pull","Pull",3,"McHenry_Valley","3rd","Oct 2014",38,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","4_Control","Control",4,"Meyer_Heller","1st","Oct 2014",161,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0
"20","4_Control","Control",4,"Meyer_Heller","2nd ","Oct 2014",117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"21","4_Control","Control",4,"Meyer_Heller","3rd","Oct 2014",109,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","4_Herbicide","Herbicide",4,"Meyer_Heller","1st","Oct 2014",59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"23","4_Herbicide","Herbicide",4,"Meyer_Heller","2nd ","Oct 2014",223,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"24","4_Herbicide","Herbicide",4,"Meyer_Heller","3rd","Oct 2014",254,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"25","4_Pull","Pull",4,"Meyer_Heller","1st","Oct 2014",34,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","4_Pull","Pull",4,"Meyer_Heller","2nd ","Oct 2014",245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"27","4_Pull","Pull",4,"Meyer_Heller","3rd","Oct 2014",172,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0
"28","5_Control","Control",5,"Lower_Heller","1st","Oct 2014",247,44,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","5_Control","Control",5,"Lower_Heller","2nd ","Oct 2014",185,3,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","5_Control","Control",5,"Lower_Heller","3rd","Oct 2014",132,13,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","5_Herbicide","Herbicide",5,"Lower_Heller","1st","Oct 2014",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","5_Herbicide","Herbicide",5,"Lower_Heller","2nd ","Oct 2014",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","5_Herbicide","Herbicide",5,"Lower_Heller","3rd","Oct 2014",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","5_Pull","Pull",5,"Lower_Heller","1st","Oct 2014",21,19,9,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","5_Pull","Pull",5,"Lower_Heller","2nd ","Oct 2014",36,12,9,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","5_Pull","Pull",5,"Lower_Heller","3rd","Oct 2014",51,9,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","7_Control","Control",7,"Merry_go_round","1st","Oct 2014",7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","7_Control","Control",7,"Merry_go_round","2nd ","Oct 2014",0,5,1,0,0,0,0,0,0,19,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","7_Control","Control",7,"Merry_go_round","3rd","Oct 2014",0,10,0,0,0,0,0,0,0,20,0,0,0,0,5,0,0,0,0,13,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"40","7_Herbicide","Herbicide",7,"Merry_go_round","1st","Oct 2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","7_Herbicide","Herbicide",7,"Merry_go_round","2nd ","Oct 2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","7_Herbicide","Herbicide",7,"Merry_go_round","3rd","Oct 2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","7_Pull","Pull",7,"Merry_go_round","1st","Oct 2014",0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","7_Pull","Pull",7,"Merry_go_round","2nd ","Oct 2014",0,7,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","7_Pull","Pull",7,"Merry_go_round","3rd","Oct 2014",0,14,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","8_Control","Control",8,"Red_Hill","1st","Oct 2014",15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","8_Control","Control",8,"Red_Hill","2nd ","Oct 2014",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"48","8_Control","Control",8,"Red_Hill","3rd","Oct 2014",51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","8_Herbicide","Herbicide",8,"Red_Hill","1st","Oct 2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","8_Herbicide","Herbicide",8,"Red_Hill","2nd ","Oct 2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","8_Herbicide","Herbicide",8,"Red_Hill","3rd","Oct 2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","8_Pull","Pull",8,"Red_Hill","1st","Oct 2014",35,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","8_Pull","Pull",8,"Red_Hill","2nd ","Oct 2014",42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","8_Pull","Pull",8,"Red_Hill","3rd","Oct 2014",11,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","9_Control","Control",9,"Bridge","1st","Oct 2014",0,0,0,3,0,0,0,0,0,0,0,0,0,0,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","9_Control","Control",9,"Bridge","2nd","Oct 2014",10,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","9_Control","Control",9,"Bridge","3rd","Oct 2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","9_Herbicide","Herbicide",9,"Bridge","1st","Oct 2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","9_Herbicide","Herbicide",9,"Bridge","2nd","Oct 2014",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","9_Herbicide","Herbicide",9,"Bridge","3rd","Oct 2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","9_Pull","Pull",9,"Bridge","1st","Oct 2014",11,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62","9_Pull","Pull",9,"Bridge","2nd","Oct 2014",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63","9_Pull","Pull",9,"Bridge","3rd","Oct 2014",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","10_Control","Control",10,"Health_Center","1st","Oct 2014",219,47,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65","10_Control","Control",10,"Health_Center","2nd ","Oct 2014",144,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66","10_Control","Control",10,"Health_Center","3rd","Oct 2014",68,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67","10_Herbicide","Herbicide",10,"Health_Center","1st","Oct 2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68","10_Herbicide","Herbicide",10,"Health_Center","2nd ","Oct 2014",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69","10_Herbicide","Herbicide",10,"Health_Center","3rd","Oct 2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70","10_Pull","Pull",10,"Health_Center","1st","Oct 2014",11,46,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","10_Pull","Pull",10,"Health_Center","2nd ","Oct 2014",5,45,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","10_Pull","Pull",10,"Health_Center","3rd","Oct 2014",1,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"73","11_Control","Control",11,"Parking_Garage","1st","Oct 2014",82,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"74","11_Control","Control",11,"Parking_Garage","2nd ","Oct 2014",91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"75","11_Control","Control",11,"Parking_Garage","3rd","Oct 2014",73,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"76","11_Herbicide","Herbicide",11,"Parking_Garage","1st","Oct 2014",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77","11_Herbicide","Herbicide",11,"Parking_Garage","2nd ","Oct 2014",10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78","11_Herbicide","Herbicide",11,"Parking_Garage","3rd","Oct 2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79","11_Pull","Pull",11,"Parking_Garage","1st","Oct 2014",91,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"80","11_Pull","Pull",11,"Parking_Garage","2nd ","Oct 2014",45,26,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
"81","11_Pull","Pull",11,"Parking_Garage","3rd","Oct 2014",119,16,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82","12_Control","Control",12,"Upper_Heller","1st","Oct 2014",116,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83","12_Control","Control",12,"Upper_Heller","2nd ","Oct 2014",84,25,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84","12_Control","Control",12,"Upper_Heller","3rd","Oct 2014",75,31,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85","12_Herbicide","Herbicide",12,"Upper_Heller","1st","Oct 2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","12_Herbicide","Herbicide",12,"Upper_Heller","2nd ","Oct 2014",38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87","12_Herbicide","Herbicide",12,"Upper_Heller","3rd","Oct 2014",31,5,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88","12_Pull","Pull",12,"Upper_Heller","1st","Oct 2014",60,9,7,1,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89","12_Pull","Pull",12,"Upper_Heller","2nd ","Oct 2014",6,12,4,7,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,10
"90","12_Pull","Pull",12,"Upper_Heller","3rd","Oct 2014",6,24,7,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"91","13_Control","Control",13,"West_McHenry","1st","Oct 2014",176,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92","13_Control","Control",13,"West_McHenry","2nd ","Oct 2014",205,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93","13_Control","Control",13,"West_McHenry","3rd","Oct 2014",44,27,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94","13_Herbicide","Herbicide",13,"West_McHenry","1st","Oct 2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95","13_Herbicide","Herbicide",13,"West_McHenry","2nd ","Oct 2014",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96","13_Herbicide","Herbicide",13,"West_McHenry","3rd","Oct 2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97","13_Pull","Pull",13,"West_McHenry","1st","Oct 2014",0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98","13_Pull","Pull",13,"West_McHenry","2nd ","Oct 2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99","13_Pull","Pull",13,"West_McHenry","3rd","Oct 2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
